Event	ID	Name			Wwise Object Path	Notes
	19031741	P_PredRush			\Default Work Unit\Characters\Player\P_PredRush	
	547444056	P_Heal			\Default Work Unit\Characters\Player\P_Heal	
	947529532	P_Death			\Default Work Unit\Characters\Player\P_Death	
	1073763149	P_Hit			\Default Work Unit\Characters\Player\P_Hit	
	1216763735	P_Shoot			\Default Work Unit\Characters\Player\P_Shoot	
	1348116050	P_AcidSpitHit			\Default Work Unit\Characters\Player\P_AcidSpitHit	
	2157893143	P_Whine			\Default Work Unit\Characters\Player\P_Whine	
	2290830213	P_Relief			\Default Work Unit\Characters\Player\P_Relief	
	2881165168	P_TailSweep			\Default Work Unit\Characters\Player\P_TailSweep	
	2936341071	P_AcidSpitPuddle			\Default Work Unit\Characters\Player\P_AcidSpitPuddle	
	3396224688	P_Talk			\Default Work Unit\Characters\Player\P_Talk	
	3437299232	W_FirearmReload			\Default Work Unit\Weapons\Firearm\W_FirearmReload	
	3633830695	P_TailSweepHit			\Default Work Unit\Characters\Player\P_TailSweepHit	
	3919743498	P_Dash			\Default Work Unit\Characters\Player\P_Dash	
	4041423483	P_AcidSpit			\Default Work Unit\Characters\Player\P_AcidSpit	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	222019397	SFX_CHAR_Talk_Raisen	C:\Users\victo\Documents\GitHub\Wwise-Project\Ymir-Project\.cache\Windows\SFX\P_Talk_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Player\SFX_CHAR_Talk_Raisen		486412
	263789084	SFX_ANIM_CHAR_Dash_Raisen	C:\Users\victo\Documents\GitHub\Wwise-Project\Ymir-Project\.cache\Windows\SFX\Dash_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Player\SFX_ANIM_CHAR_Dash_Raisen		98360
	314735228	SFX_ANIM_CHAR_AcidSpit_Raisen	C:\Users\victo\Documents\GitHub\Wwise-Project\Ymir-Project\.cache\Windows\SFX\AcidSpit_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Player\SFX_ANIM_CHAR_AcidSpit_Raisen		22668
	425888205	SFX_ANIM_CHAR_Death_Raisen	C:\Users\victo\Documents\GitHub\Wwise-Project\Ymir-Project\.cache\Windows\SFX\P_Death(WWISE)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Player\SFX_ANIM_CHAR_Death_Raisen		176560
	583374193	SFX_ANIM_CHAR_PROV-Shoot_Raisen	C:\Users\victo\Documents\GitHub\Wwise-Project\Ymir-Project\.cache\Windows\SFX\FirearmShot_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Player\SFX_ANIM_CHAR_PROV-Shoot_Raisen		81016
	645100761	SFX_CHAR_Relief_Raisen	C:\Users\victo\Documents\GitHub\Wwise-Project\Ymir-Project\.cache\Windows\SFX\Relief_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Player\SFX_CHAR_Relief_Raisen		108740
	752509438	SFX_ANIM_CHAR_TailHit_Raisen	C:\Users\victo\Documents\GitHub\Wwise-Project\Ymir-Project\.cache\Windows\SFX\TailSweepHit(WWISE)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Player\SFX_ANIM_CHAR_TailHit_Raisen		80448
	767211440	SFX_ANIM_CHAR_TailSweep_Raisen	C:\Users\victo\Documents\GitHub\Wwise-Project\Ymir-Project\.cache\Windows\SFX\P_TailSweep_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Player\SFX_ANIM_CHAR_TailSweep_Raisen		70960
	776615821	SFX_ANIM_CHAR_AcidPuddle_Raisen	C:\Users\victo\Documents\GitHub\Wwise-Project\Ymir-Project\.cache\Windows\SFX\AcidSpitPuddle_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Player\SFX_ANIM_CHAR_AcidPuddle_Raisen		129004
	805997874	SFX_CHAR_Whine_Raisen	C:\Users\victo\Documents\GitHub\Wwise-Project\Ymir-Project\.cache\Windows\SFX\Whine(WWISE)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Player\SFX_CHAR_Whine_Raisen		671270
	812826936	SFX_ANIM_CHAR_AcidHit_Raisen	C:\Users\victo\Documents\GitHub\Wwise-Project\Ymir-Project\.cache\Windows\SFX\AcidHit_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Player\SFX_ANIM_CHAR_AcidHit_Raisen		115976
	842039477	SFX_ANIM_CHAR_Hit_Raisen	C:\Users\victo\Documents\GitHub\Wwise-Project\Ymir-Project\.cache\Windows\SFX\HitTaken_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Player\SFX_ANIM_CHAR_Hit_Raisen		135540
